	name	Serial_result	Serial_memory	Serial_runtime
274	128_100.sanitized.cnf	0	1.9560394287109375	6.95
275	ER_400_20_7.apx_2_DC-ST.cnf	-1	0.09164047241210938	2805.86
276	stb_531_83.apx_2_DC-ST.cnf	-1	0.03588104248046875	296.25
277	af-synthesis_stb_50_140_3_unsat.cnf	-1	0.046855926513671875	358.44
278	noL-11-12.sanitized.cnf	1	0.062137603759765625	534.79
279	bmc_QICE_snp_vld_30.cnf	0	1.9335746765136719	41.89
280	j3045_10_rggt_b.cnf	1	0.026275634765625	241.66
281	af-synthesis_stb_50_200_0_sat.cnf	1	0.06717681884765625	509.96
282	two-trees-1023v.sanitized.cnf	0	0.10954666137695312	2998.13
283	sgen1-unsat-121-100.cnf	0	0.05507659912109375	2999.45
284	lru_7.sanitized.cnf	0	2.114215850830078	6.95
285	64_150.sanitized.cnf	0	1.9231910705566406	6.94
286	IBM_FV_2004_rule_batch_1_31_1_SAT_dat.k40.debugged.cnf	-1	0.029529571533203125	343.49
287	1-ZC-512-K-67.sanitized.cnf	0	0.1350555419921875	2999.82
288	af-synthesis_stb_50_40_2_unsat.cnf	-1	0.026302337646484375	496.12
289	rbsat-v760c43649gyes9.cnf	1	0.025726318359375	185.76
290	circuit_32in32out_with_64gates_8in6out_dist128_seed2.sanitized.cnf	1	0.19391250610351562	878.27
291	pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf	0	0.09321212768554688	3000.87
292	test_v7_r17_vr5_c1_s25451.smt2-cvc4.cnf	0	0.3492088317871094	3000.84
293	j3045_10_gmto_b.cnf	1	0.035137176513671875	432.63
294	rook-56-0-0.cnf	0	0.18550872802734375	2999.85
295	qwh.50.1250.shuffled-as.sat03-1655.cnf	1	0.037174224853515625	15.54
296	simon-r24-1.sanitized.cnf	1	0.003101348876953125	0.01
297	lec_mult_DvW_12x12.sanitized.cnf	0	0.0813446044921875	3000.9
298	constraints_25_4_5_12_12_0_0_0.sanitized.cnf	-1	0.024566650390625	312.84
299	pcmax-scheduling-m15-2352-13561-SAT.sanitized.cnf	0	0.12060546875	2999.96
300	lec_mult_KvW_10x10.sanitized.cnf	-1	0.019931793212890625	299.77
301	ex065_25.cnf	1	0.0938873291015625	1338.05
302	lru_6.sanitized.cnf	0	2.0578269958496094	6.91
303	g2-hwmcc15deep-bob12s02-k16.cnf	0	0.15543365478515625	2999.65
304	1-ZC-1024-K-116.sanitized.cnf	0	0.426971435546875	2999.9
305	j3037_1_gmto_b.cnf	1	0.015949249267578125	17.81
306	1-ET-256-K-55.sanitized.cnf	0	0.072418212890625	2999.96
307	stb_588_138.apx_1_DC-ST.cnf	-1	0.030841827392578125	283.91
308	post-cbmc-aes-ee-r3-noholes.cnf	-1	0.22039031982421875	615.79
309	stb_418_125.apx_2_DC-AD.cnf	-1	0.0603179931640625	1702.63
310	crn_11_99_u.cnf	-1	0.006420135498046875	2.53
311	af-synthesis_stb_50_100_9_unsat.cnf	-1	0.0408172607421875	930.55
312	string_compare_safety_cbmc_unwinding_900.cnf	0	1.9730758666992188	17.92
313	Folkman-175-7416734.sanitized.cnf	1	0.04451751708984375	354.58
314	g2-T93.2.1.cnf	-1	1.8526077270507812	875.43
315	manol-pipe-g10bid_i.cnf	-1	0.14606857299804688	321.81
316	simon-r17-0.sanitized.cnf	1	0.002704620361328125	0.0
317	j3037_9_mdd_bm1.cnf	0	0.064666748046875	3000.84
318	j3037_10_rggt_b.cnf	1	0.02313995361328125	130.26
319	stb_531_83.apx_1_DC-ST.cnf	-1	0.032077789306640625	366.47
320	g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf	-1	0.169281005859375	499.99
321	hwmcc17miters-xits-iso-oski15a08b08s.sanitized.cnf	-1	0.5330734252929688	7.82
322	hwb-n24-02-S786928571.shuffled-as.sat03-1618.cnf	-1	0.0283050537109375	220.04
323	simon-r23-1.sanitized.cnf	1	0.00305938720703125	0.01
324	fermat-931960058139995587.cnf	0	0.041545867919921875	3000.78
325	Break_unsat_06_07.xml.cnf	-1	0.005191802978515625	1.68
326	REGRandom-K4-L1-Seed30.sanitized.cnf	-1	0.0689849853515625	9.31
327	linked_list_swap_contents_safety_unwind63.cnf	-1	1.4938278198242188	103.76
328	mdp-28-16-unsat.cnf	-1	0.0448760986328125	2109.37
